file,line,name,stmt_len,proof,touches_rec
NavierStokes/ActualSignedStageControls.lean,674,NavierStokes.ActualSignedStageControls.slow_growth_eq,308,:= rfl,[]
NavierStokes/ActualSignedNativeBounds.lean,98,NavierStokes.ActualSignedNativeBounds.nativeToCommon_apply,306,:= rfl,[]
NavierStokes/ActualWaveRegularityData.lean,619,NavierStokes.ActualWaveRegularityData.strip_zeta,303,:= rfl,[]
NavierStokes/GaugeMomentBalances.lean,142,NavierStokes.GaugeMomentBalances.reconstructState_idempotent,294,:= rfl end GeneralGauge section SimilarityCoefficient,[]
NavierStokes/StateMomentBalances.lean,372,NavierStokes.StateMomentBalances.nativeOperators_profile,289,:= rfl,[]
NavierStokes/MeanChartCompatibility.lean,727,NavierStokes.MeanChartCompatibility.physicalToChart_apply,287,:= rfl,[]
NavierStokes/ActualSignedGeometry.lean,468,NavierStokes.ActualSignedGeometry.slowChange_apply,287,:= rfl,[]
Euler/CorrectionOperators.lean,60,EulerCorrectionOperators.coordinateProduct_apply,280,:= rfl,['truncate']
NavierStokes/PartitionedCovariance.lean,100,NavierStokes.PartitionedCovariance.nativePulse_mul,279,:= rfl,[]
NavierStokes/PhysicalSignedWave.lean,1369,NavierStokes.PhysicalSignedWave.PrimaryData.Views.pressureMode_eq_exact,277,:= rfl,[]
NavierStokes/ActualSignedPhysicalBinding.lean,77,NavierStokes.ActualSignedPhysicalBinding.toCommonCylinder_apply,277,:= rfl,[]
NavierStokes/ActualParticularDynamics.lean,109,NavierStokes.ActualParticularDynamics.native_strip_eq,277,:= rfl,[]
Euler/LpSmoothJetField.lean,29,EulerLpTranslation.SmoothL2Field.jetField_zero,275,:= rfl,['jetField']
Euler/BoundedFieldForwardGenerator.lean,60,EulerBoundedFieldForwardGenerator.generatorPath_apply,272,:= rfl variable {P : Type*} [NormedAddCommGroup P] [NormedSpace ℝ P],[]
NavierStokes/ParticularWaveAssembly.lean,206,NavierStokes.ParticularWaveAssembly.transportTangent_linearData,272,:= rfl omit [NormedAddCommGroup P] [NormedSpace ℝ P] [NormedAddCommGroup Q] [Nor,[]
Euler/RegularizedMildEquation.lean,96,EulerRegularizedMildEquation.regularizerFirst_source,270,:= rfl,[]
Euler/PacketSourceSolenoidal.lean,55,EulerPacketCylinderField.sourcePacketPullbackField_path,270,:= rfl,[]
Euler/PacketCorrectionSourceData.lean,45,EulerPacketCorrectionCoefficients.correctionData_metric,268,:= rfl,[]
Euler/PacketCorrectionSourceData.lean,50,EulerPacketCorrectionCoefficients.correctionData_linear,268,:= rfl,[]
NavierStokes/InitialPhysicalData.lean,2239,NavierStokes.InitialPhysicalData.physicalPressure_mode,267,:= rfl,[]
NavierStokes/ActualCycleParameters.lean,329,NavierStokes.ActualCycleParameters.signed_phase,265,:= rfl,[]
NavierStokes/ActualCycleParameters.lean,334,NavierStokes.ActualCycleParameters.signed_angular,264,:= rfl,[]
NavierStokes/InitialPhysicalData.lean,1763,NavierStokes.InitialPhysicalData.normal_withCutoff,264,:= rfl,[]
Euler/ParentStageDirection.lean,53,EulerPacketSourceGeometry.ParentFrame.activation_normal_choice,264,:= rfl,[]
NavierStokes/ActualSignedFamilySupport.lean,37,NavierStokes.ActualSignedFamilySupport.gate_diagonal,263,:= rfl,[]
NavierStokes/ScaledActualParticularControl.lean,528,NavierStokes.ScaledActualParticularControl.physical_commute,263,:= rfl,[]
NavierStokes/PhysicalParticularWave.lean,214,NavierStokes.PhysicalParticularWave.chartChange_apply,262,:= rfl,[]
NavierStokes/ActualSignedPhysicalData.lean,1484,NavierStokes.ActualSignedPhysicalData.copyPotential_field,262,:= rfl end NativeSources,[]
NavierStokes/CommonBaseContext.lean,518,NavierStokes.CommonBaseContext.context_radial_physical,260,:= rfl,[]
Euler/SobolevWordConstraints.lean,25,EulerSobolevWordConstraints.sobolevGradientProjection_word,260,:= rfl,['word']
NavierStokes/ActualCycleParameters.lean,324,NavierStokes.ActualCycleParameters.signed_frequency,257,:= rfl,[]
Euler/EulerProof.lean,6558,EulerCylinderSobolev.iteratedFieldDerivative_succ,254,:= rfl,[]
NavierStokes/ActualParticularStageControls.lean,191,NavierStokes.ActualParticularStageControls.parameters_length,254,:= rfl,[]
NavierStokes/ActualCurrentParticularPhysical.lean,553,NavierStokes.ActualCurrentParticularPhysical.copyData_particularState,253,:= rfl,[]
NavierStokes/ActualInitialMeanEquation.lean,426,NavierStokes.ActualInitialMeanEquation.common_graphOperators,251,:= rfl,[]
Euler/EulerProof.lean,2269,EulerPressureSpatialRegularity.translatedCoefficient_path,246,:= rfl omit [Fact (0 < period)] in,[]
Euler/OrdinaryEulerRescaling.lean,76,EulerOrdinarySobolev.Evolution.rescale_velocity,245,:= rfl,[]
Euler/PacketCorrectionMetricTime.lean,33,EulerPacketCorrectionCoefficients.inverseMetricTimeCoefficient_apply,242,:= rfl,[]
NavierStokes/AxisContraction.lean,605,NavierStokes.AxisContraction.naturalRemainder_fst_resolvent,239,:= rfl,[]
Euler/VolumeSobolevPath.lean,48,EulerVolumeSobolevPath.partitionCoefficient_apply,239,:= rfl,[]
Euler/MeanBoundaryFrechet.lean,51,EulerMeanBoundary.cutoffDirectionalMap_apply,239,:= rfl,[]
NavierStokes/PhysicalResidualTZ.lean,241,NavierStokes.PhysicalResidualTZ.radialDirection_swap,238,:= by rfl,[]
Euler/LpCylinderRectangular.lean,189,EulerLpCylinderRectangular.include_supportedMultiplier,238,:= rfl end EulerLpCylinderRectangular,[]
Euler/BoundedFieldForwardGenerator.lean,56,EulerBoundedFieldForwardGenerator.leftInversePath_apply,237,:= rfl,[]
Euler/EulerProof.lean,6784,EulerCylinderSobolev.localized_apply,237,:= rfl,[]
NavierStokes/ActualPhaseDefect.lean,735,NavierStokes.ActualPhaseDefect.reducedExpression_eq_native,237,:= rfl,[]
NavierStokes/LocalSignedRequest.lean,531,NavierStokes.LocalSignedRequest.torusAverage_inverseProfileMap,237,:= rfl,[]
NavierStokes/ScalarParticularSupport.lean,43,NavierStokes.ScalarParticularSupport.scalarData_pressure,235,":= rfl variable (hinj : ∀ n, InjOn TorusAverages.quotientPoint ((fun z => (g n).",[]
NavierStokes/AxisContraction.lean,610,NavierStokes.AxisContraction.naturalRemainder_snd_resolvent,235,:= rfl,[]
NavierStokes/PhysicalResidualTZ.lean,247,NavierStokes.PhysicalResidualTZ.axialDirection_swap,235,:= by rfl,[]
Euler/EvolutionTimeShift.lean,52,EulerOrdinarySobolev.Evolution.shiftTime_velocity,233,:= rfl,[]
NavierStokes/PhysicalResidualTZ.lean,253,NavierStokes.PhysicalResidualTZ.timeDirection_swap,232,:= by rfl,[]
NavierStokes/PrimaryTargetBounds.lean,989,NavierStokes.PrimaryTargetBounds.restricted_covariance,230,:= rfl,[]
NavierStokes/AxisymmetricResidualGrouping.lean,50,NavierStokes.AxisymmetricResidualGrouping.stateFullResidual_eraseAxisymmetricAlias,228,:= rfl,[]
Euler/ParentEulerChild.lean,60,EulerParentPacketFrames.Evolution.child_velocity,227,:= rfl,[]
NavierStokes/ActualSignedPotentialCoherence.lean,44,NavierStokes.ActualSignedPotentialCoherence.potential_eq_mode,224,:= rfl,[]
NavierStokes/AxisymmetricResidualGrouping.lean,45,NavierStokes.AxisymmetricResidualGrouping.stateFullResidual_addAxisymmetricAlias,224,:= rfl,[]
NavierStokes/UniformPrimaryWeights.lean,49,NavierStokes.UniformPrimaryWeights.reindexed_majorant,224,:= rfl,[]
NavierStokes/PrimaryGeometryAssembly.lean,522,NavierStokes.PrimaryGeometryAssembly.construction_lambda,220,:= rfl,[]
NavierStokes/GaugeStateCoherence.lean,353,NavierStokes.GaugeStateCoherence.bandSlowEquiv_apply,220,:= rfl,[]
NavierStokes/PhysicalParticularWave.lean,777,NavierStokes.PhysicalParticularWave.waveEquiv_cylinderChange,220,:= rfl,[]
NavierStokes/ActualSignedGeometry.lean,353,NavierStokes.ActualSignedGeometry.clockScale_value,220,:= rfl end Scales section Slots variable {D h : ℝ} {vr vt : Plane} (sys : Partit,[]
NavierStokes/InitialPhysicalData.lean,734,NavierStokes.InitialPhysicalData.liftZT_common,218,:= rfl,[]
NavierStokes/ScalarParticularSupport.lean,37,NavierStokes.ScalarParticularSupport.scalarData_amplitude,218,:= rfl omit [NormedAddCommGroup P] [NormedSpace ℝ P] in,[]
NavierStokes/ExtendedHeatedOutgoing.lean,218,NavierStokes.ExtendedHeatedOutgoing.heatE_eq_edit,217,:= rfl,[]
NavierStokes/ActualParticularControl.lean,751,NavierStokes.ActualParticularControl.transportArgument_apply,216,:= rfl,[]
Euler/ParentEulerChild.lean,68,EulerParentPacketFrames.Evolution.child_force,215,:= rfl end EulerParentPacketFrames.Evolution,[]
NavierStokes/NilpotentVolterra.lean,237,NavierStokes.NilpotentVolterra.pathInverse_apply,215,:= rfl,[]
NavierStokes/SlowExpansionResidual.lean,322,NavierStokes.SlowExpansionResidual.finiteProfile_value,215,:= rfl,[]
Euler/SobolevL2Product.lean,123,EulerSobolevL2Product.scalarProductBilinear_apply,214,:= rfl,[]
Euler/TimeH1Reconstruction.lean,46,EulerTimeH1Reconstruction.reconstruction_apply,214,:= rfl,[]
Euler/SmoothTimeFieldPrecomp.lean,45,SmoothTimeField.precompLinear_jet_apply,212,:= rfl,[]
Euler/SmoothFlowCoefficientPaths.lean,97,EulerSmoothBanachFlow.velocityCoefficient_apply,211,:= rfl,[]
NavierStokes/PhysicalResidualTZ.lean,267,NavierStokes.PhysicalResidualTZ.complexPerturbation_swap,211,:= rfl,[]
NavierStokes/InitialPhysicalData.lean,738,NavierStokes.InitialPhysicalData.slowInput_common,210,:= rfl,[]
Euler/SobolevWordConstraints.lean,21,EulerSobolevWordConstraints.sobolevGradientProjection_value,208,:= rfl,[]
Euler/SobolevProduct.lean,130,EulerSobolevL2Product.productHqBilinear_apply,205,:= rfl end EulerSobolevL2Product,[]
NavierStokes/ActualCandidateConstruction.lean,496,NavierStokes.ActualCandidateConstruction.angularMeanStages_succ,204,:= rfl,[]
NavierStokes/PhysicalResidualNaturality.lean,634,NavierStokes.PhysicalResidualNaturality.associatedChart_apply,203,:= rfl,[]
NavierStokes/ActualSignedPhysicalData.lean,1962,NavierStokes.ActualSignedPhysicalData.potentialWaveData_vector,203,:= rfl,[]
NavierStokes/PhysicalWaveSum.lean,581,NavierStokes.PhysicalWaveSum.polarCarrier_withChart,203,:= rfl,[]
NavierStokes/ActualParticularStageControls.lean,1316,NavierStokes.ActualParticularStageControls.native_background_eq,202,:= rfl,[]
Euler/SmoothTimeFieldBilinear.lean,78,SmoothTimeField.uncurryRightPath_apply,202,:= rfl,[]
Euler/ChildParticleFieldBounds.lean,239,EulerChildParticleFieldBounds.Data.childVelocity_apply,201,:= rfl,[]
NavierStokes/ParticularWaveBounds.lean,1656,NavierStokes.ParticularWaveBounds.shear_at_constant,201,:= rfl,[]
NavierStokes/ActualCandidateConstruction.lean,500,NavierStokes.ActualCandidateConstruction.pressureMeanStages_succ,200,:= rfl,[]
NavierStokes/PhysicalResidualTZ.lean,271,NavierStokes.PhysicalResidualTZ.complexPressure_swap,199,:= rfl,[]
Euler/MeanDisplacementRegularity.lean,141,EulerMeanVariationalInverse.meanTestMap_coe,199,:= rfl,[]
NavierStokes/ActualParticularStageControls.lean,509,NavierStokes.ActualParticularStageControls.selected_scale,198,:= rfl,[]
Euler/ParentPacketStrainEvolution.lean,25,EulerParentPacketFrames.Parent.inverseDerivative_apply,196,:= rfl,[]
NavierStokes/CorrectionInitialization.lean,3964,NavierStokes.CorrectionInitialization.ActualPrimary.phase_frequency,195,:= rfl,[]
Euler/PacketCoefficientTower.lean,23,EulerPacketCylinderField.MatrixCoefficient.toCoefficientTower_coefficient,195,:= rfl,[]
NavierStokes/TerminalCompensation.lean,270,NavierStokes.TerminalCompensation.quadraticCLM_apply,195,:= rfl,[]
NavierStokes/VariableGaugeMean.lean,1517,NavierStokes.VariableGaugeMean.normalizedCutoff_q_eq_kernel,195,:= rfl,[]
NavierStokes/ActualSignedPhysicalData.lean,1966,NavierStokes.ActualSignedPhysicalData.pressureWaveData_pressure,194,:= rfl,[]
NavierStokes/ActualCycleParameters.lean,339,NavierStokes.ActualCycleParameters.primaryPiece_frequency,192,:= rfl,[]
NavierStokes/ActualCandidateConstruction.lean,492,NavierStokes.ActualCandidateConstruction.streamMeanStages_succ,192,:= rfl,[]
NavierStokes/PhysicalResidualTZ.lean,263,NavierStokes.PhysicalResidualTZ.complexBase_swap,191,:= rfl,[]
Euler/PacketSourceCorrectionCoefficients.lean,116,EulerPacketCorrectionCoefficients.linearTower_apply,191,:= rfl,[]
Euler/PacketSourceCorrectionCoefficients.lean,108,EulerPacketCorrectionCoefficients.metricTower_apply,191,:= rfl,[]
NavierStokes/ActualInitialization.lean,279,NavierStokes.ActualInitialization.initialState_reconstructed,190,:= rfl,[]
NavierStokes/DefectIncrementBounds.lean,701,NavierStokes.DefectIncrementBounds.defects_eq_stateDebt,190,:= rfl,[]
NavierStokes/R3/PressureFlux.lean,169,NavierStokesR3.PressureFlux.fluxTest_apply,190,:= rfl,[]
NavierStokes/VariableGaugeMean.lean,2590,NavierStokes.VariableGaugeMean.cutoffRadialDerivative_q_eq_kernel,188,:= rfl,[]
Euler/SmoothPhysicalGraphFlow.lean,62,EulerGraphInvariantFlow.physicalCoefficient_apply,187,:= rfl,[]
Euler/DivergenceFreeHeat.lean,46,EulerDivergenceFreeHeat.gradientEvaluation_apply,187,:= rfl,[]
NavierStokes/CorrectionInitialization.lean,3968,NavierStokes.CorrectionInitialization.ActualPrimary.phase_axial,187,:= rfl,[]
NavierStokes/ActualCycleGeometry.lean,72,NavierStokes.ActualCycleGeometry.fast_eq,187,:= rfl,[]
Euler/TransverseBoundedGeometry.lean,43,EulerTransverseBoundedFrame.normalCoefficient_apply,186,:= rfl,[]
NavierStokes/InitialPhysicalData.lean,276,NavierStokes.InitialPhysicalData.selectedCarrier_center,186,:= rfl,[]
Euler/InitialTimePrimitive.lean,115,EulerInitialTimePrimitive.initialPrimitive_eq_terminal_sub,185,:= rfl,[]
NavierStokes/HarmonicFields.lean,636,NavierStokes.HarmonicFields.angularDifferentiate_apply,183,:= rfl,[]
NavierStokes/MeanChartCompatibility.lean,314,NavierStokes.MeanChartCompatibility.coverPull_eq,183,:= rfl,[]
NavierStokes/GaugeDebtIncrement.lean,448,NavierStokes.GaugeDebtIncrement.temporalStage_mean,182,:= rfl,[]
Euler/SourceCylinderDerivativeWeight.lean,23,EulerSourceCylinderEquation.velocityDerivative_eq_physicalRhs,182,":= rfl variable (g : C(Icc (0 : ℝ) T,ℝ)) (hg : ∀ t, 0 < g t)",[]
Euler/SmoothFlowCoefficientPaths.lean,64,EulerSmoothBanachFlow.displacementCoefficient_apply,182,:= rfl,[]
NavierStokes/StateReindex.lean,408,NavierStokes.StateReindex.contextBase_pull,182,:= rfl,[]
Euler/PhysicalGraphTimeFields.lean,26,EulerPhysicalGraphFlowBounds.Data.coverDisplacementCoefficient_apply,182,:= rfl,[]
Euler/EulerProof.lean,10845,EulerVectorCalculus.curl_apply,181,:= rfl,[]
Euler/SmoothTimeFieldComposition.lean,114,SmoothTimeField.compDisplacement_apply,181,:= rfl end SmoothTimeField,[]
NavierStokes/PhysicalResidualTZ.lean,259,NavierStokes.PhysicalResidualTZ.angularDirection_swap,180,:= rfl,[]
NavierStokes/ActualCycleParameters.lean,347,NavierStokes.ActualCycleParameters.primaryPiece_angular,180,:= rfl,[]
NavierStokes/PeriodizePDE.lean,53,NavierStokes.PeriodicLocalization.temporalDerivative_translate,180,:= rfl,[]
NavierStokes/PhysicalResidualTZ.lean,406,NavierStokes.PhysicalResidualTZ.graphTemporalTZ_apply,179,:= rfl,[]
Euler/SmoothTimeFieldChain.lean,30,SmoothTimeField.applyField_apply,179,:= rfl end Application variable {E V W Z : Type} [NormedAddCommGroup E] [NormedS,[]
NavierStokes/ActualSignedNativeBounds.lean,94,NavierStokes.ActualSignedNativeBounds.nativeToCommon_eq,179,:= rfl,[]
Euler/TransverseBoundedFrame.lean,41,EulerTransverseBoundedFrame.coefficient_apply,178,:= rfl,[]
Euler/PacketSourceCorrectionCoefficients.lean,75,EulerPacketCorrectionCoefficients.inverseMetricCoefficient_apply,177,:= rfl,[]
Euler/EnergyWordCoordinates.lean,27,EulerEnergyWordCoordinates.boundedWordBlock_eq_wordAtLevel,177,:= rfl,['word']
Euler/PacketShiftedTimeGluing.lean,24,EulerPacketTimePathGluing.shiftPath_apply,175,:= rfl,[]
Euler/PacketCylinderWeightedProduct.lean,17,EulerPacketCylinderField.productProfileRatio_apply,174,:= rfl,[]
NavierStokes/DependentSignedPhysicalFamily.lean,79,NavierStokes.DependentSignedPhysicalFamily.Family.singleton_referenceRequest,174,:= by rfl,[]
Euler/SmoothTimeFieldLinear.lean,43,SmoothTimeField.map_jet_apply,174,:= rfl,[]
NavierStokes/StateReindex.lean,411,NavierStokes.StateReindex.stateMean_pull,172,:= rfl,[]
NavierStokes/BaseResidual.lean,147,NavierStokes.BaseResidual.pullback_eq_homogeneous,172,:= by rfl,[]
NavierStokes/DependentSignedPhysicalFamily.lean,163,NavierStokes.DependentSignedPhysicalFamily.diagonal_periodized,172,:= rfl,[]
NavierStokes/R3/PressureFlux.lean,165,NavierStokesR3.PressureFlux.rTest_apply,172,:= rfl,[]
NavierStokes/ActualCandidateAssembly.lean,549,NavierStokes.ActualCandidateAssembly.potentialStages_succ,172,:= rfl,[]
NavierStokes/AxisymmetricResidual.lean,33,NavierStokes.AxisymmetricResidual.packDerivative_apply,171,:= rfl,[]
Euler/QuadraticCoefficients.lean,39,EulerQuadraticSource.Coefficients.comp_apply,171,:= rfl,[]
NavierStokes/R3/PressureFunctionals.lean,250,NavierStokesR3.PressureFunctionals.pressurePairLinear_apply,171,:= rfl,[]
Euler/LpSmoothCoefficientProduct.lean,56,EulerLpSmoothCoefficientProduct.product_field,169,:= rfl,[]
NavierStokes/ActualCandidateAssembly.lean,566,NavierStokes.ActualCandidateAssembly.pressureStages_succ,169,:= rfl,[]
NavierStokes/HarmonicFields.lean,479,NavierStokes.HarmonicFields.differentiate_apply,168,:= rfl,[]
Euler/SobolevHeat.lean,33,EulerSobolevHeat.heatOperator_value,168,:= rfl,[]
Euler/LiftedSmoothTimeField.lean,83,EulerLiftedSmoothTimeField.lift_apply,168,:= rfl,[]
Euler/MeanBoundaryDifference.lean,43,EulerMeanBoundary.Cutoff.differenceQuotient_field,167,:= rfl,[]
NavierStokes/ActualSignedPhysicalData.lean,710,NavierStokes.ActualSignedPhysicalData.potentialMap_apply,166,:= rfl,[]
NavierStokes/ActualCycleParameters.lean,343,NavierStokes.ActualCycleParameters.primaryPiece_phase,165,:= rfl,[]
NavierStokes/ActualPrimaryBounds.lean,122,NavierStokes.ActualPrimaryBounds.clock_eq,165,:= rfl,[]
NavierStokes/SlowRecursion.lean,439,NavierStokes.SlowRecursion.complexProfile_mul,164,:= rfl,[]
NavierStokes/InitialPhysicalData.lean,1507,NavierStokes.InitialPhysicalData.graph_aux_common,164,:= rfl,[]
NavierStokes/SlowRecursion.lean,437,NavierStokes.SlowRecursion.complexProfile_sub,164,:= rfl,[]
NavierStokes/SlowRecursion.lean,435,NavierStokes.SlowRecursion.complexProfile_add,164,:= rfl,[]
Euler/LpCylinderRectangular.lean,57,EulerLpCylinderRectangular.fullOperatorMap_apply,163,:= rfl,[]
NavierStokes/EntranceAlignedBase.lean,820,NavierStokes.EntranceAlignedBase.modulated_axial_eq_extended,163,:= rfl,[]
NavierStokes/PhysicalMeanDomain.lean,1177,NavierStokes.PhysicalMeanDomain.chartQ_eq_slow,163,:= rfl,[]
NavierStokes/PeriodizedWaveBounds.lean,812,NavierStokes.PeriodizedWaveBounds.CopyData.localGaussian_eq,162,:= rfl omit [NormedSpace ℝ D] in,[]
NavierStokes/ActualCandidateConstruction.lean,476,NavierStokes.ActualCandidateConstruction.angularMeanStages_zero,161,:= rfl,[]
NavierStokes/AngularMomentReset.lean,200,NavierStokes.AngularMomentReset.quadraticCLM_apply,161,:= rfl,[]
NavierStokes/PhysicalStageSupport.lean,389,NavierStokes.PhysicalStageSupport.actualOuterConstant_eq,161,:= rfl,[]
Euler/InitialTimePrimitive.lean,107,EulerInitialTimePrimitive.initialPrimitive_apply,161,:= rfl,[]
NavierStokes/ActualPrimaryDynamics.lean,312,NavierStokes.ActualPrimaryDynamics.slotLinear_apply,160,:= rfl,[]
NavierStokes/ActualBaseResidual.lean,361,NavierStokes.ActualBaseResidual.profileJacobian_apply,160,:= rfl,[]
NavierStokes/ActualCyclePreservation.lean,155,NavierStokes.ActualCyclePreservation.state_succ,159,:= rfl,[]
NavierStokes/PhysicalResidualNaturality.lean,563,NavierStokes.PhysicalResidualNaturality.chartEquiv_apply,159,:= rfl,[]
Euler/PhysicalGraphGevrey.lean,38,EulerLpTranslation.SmoothL2Field.scaleField_apply,159,:= rfl,[]
NavierStokes/EntranceAlignedBase.lean,817,NavierStokes.EntranceAlignedBase.modulated_phi_eq_extended,159,:= rfl,[]
NavierStokes/PressureStream.lean,373,NavierStokes.PressureStream.graphDr_eq_physical,159,:= rfl end Graph section Pressure variable {S : Type} [NormedAddCommGroup S] [No,[]
NavierStokes/ActualCandidateConstruction.lean,472,NavierStokes.ActualCandidateConstruction.streamMeanStages_zero,158,:= rfl,[]
