predicate,kind,declared,hypothesis_sites,suppliers,files_using,hint_supplied_parent,hint_in_proof_ascription,hint,example_sites
NavierStokes.CorrectionStep.PeriodizedSignedParameters.NativeDynamics,structure,NavierStokes/CorrectionStep.lean:6000,23,0,1,,,,NavierStokes/CorrectionStep.lean:6029; NavierStokes/CorrectionStep.lean:6039; NavierStokes/CorrectionStep.lean:6050; NavierStokes/CorrectionStep.lean:6072
NavierStokes.HarmonicResidual.ExtractionRegular,structure,NavierStokes/HarmonicResidual.lean:1461,22,0,6,,,,NavierStokes/AxisymmetricResidualGrouping.lean:137; NavierStokes/AxisymmetricResidualGrouping.lean:162; NavierStokes/AxisymmetricResidualGrouping.lean:190; NavierStokes/AxisymmetricResidualGrouping.lean:212
NavierStokes.MovingMomentBounds.Support,def,NavierStokes/MovingMomentBounds.lean:118,19,0,2,,NavierStokes/MeanLocalDefectBounds.lean:161; NavierStokes/MeanLocalDefectBounds.lean:161,route2?,NavierStokes/MeanLocalDefectBounds.lean:161; NavierStokes/MeanLocalDefectBounds.lean:232; NavierStokes/MeanLocalDefectBounds.lean:298; NavierStokes/MovingMomentBounds.lean:126
NavierStokes.PhysicalWaveSum.RegularFamily,structure,NavierStokes/PhysicalWaveSum.lean:745,19,0,4,NavierStokes.PhysicalCopyBounds.RegularFamily,,route4,NavierStokes/AnnularEndpoint.lean:244; NavierStokes/AnnularEndpoint.lean:255; NavierStokes/AxisPreservation.lean:20; NavierStokes/AxisPreservation.lean:42
NavierStokes.ValidBandGluing.Compatible,def,NavierStokes/ValidBandGluing.lean:22,19,0,2,,,,NavierStokes/ErrorHarmonics.lean:467; NavierStokes/ErrorHarmonics.lean:477; NavierStokes/ErrorHarmonics.lean:591; NavierStokes/ValidBandGluing.lean:39
NavierStokes.PeriodicIntegration.UnitPeriods,def,NavierStokes/PeriodicIntegration.lean:40,17,0,3,,NavierStokes/PeriodicIntegration.lean:181; NavierStokes/PeriodicUniqueness.lean:391,route2?,NavierStokes/PeriodicIntegration.lean:123; NavierStokes/PeriodicIntegration.lean:181; NavierStokes/PeriodicSobolev.lean:265; NavierStokes/PeriodicSobolev.lean:314
NavierStokes.ActualParticularPhysicalData.ReferenceFamily.SourceSupport,structure,NavierStokes/ActualParticularPhysicalData.lean:728,16,0,1,,,,NavierStokes/ActualParticularPhysicalData.lean:742; NavierStokes/ActualParticularPhysicalData.lean:761; NavierStokes/ActualParticularPhysicalData.lean:767; NavierStokes/ActualParticularPhysicalData.lean:804
NavierStokes.MeanResidual.AngularPeriodic,def,NavierStokes/MeanResidual.lean:56,16,0,1,,NavierStokes/MeanResidual.lean:915,route2?,NavierStokes/MeanResidual.lean:190; NavierStokes/MeanResidual.lean:206; NavierStokes/MeanResidual.lean:213; NavierStokes/MeanResidual.lean:511
NavierStokes.DefectIncrementBounds.ShellTriple,structure,NavierStokes/DefectIncrementBounds.lean:109,15,0,3,,,,NavierStokes/CorrectionInitialization.lean:1201; NavierStokes/CorrectionInitializationNoOptions.lean:1212; NavierStokes/DefectIncrementBounds.lean:114; NavierStokes/DefectIncrementBounds.lean:118
NavierStokes.ActualParticularPhysicalData.ReferenceFamily.NativeProfiles,structure,NavierStokes/ActualParticularPhysicalData.lean:963,13,0,2,,,,NavierStokes/ActualParticularPhysicalData.lean:974; NavierStokes/ActualParticularPhysicalData.lean:988; NavierStokes/ActualParticularPhysicalData.lean:1067; NavierStokes/ActualParticularPhysicalData.lean:1091
