predicate,kind,declared,hypothesis_sites,suppliers,files_using,hint_supplied_parent,hint_in_proof_ascription,hint,example_sites
NavierStokes.ActualWaveRegularity.ModalSmooth,structure,NavierStokes/ActualWaveRegularity.lean:291,2,0,1,,,,NavierStokes/ActualWaveRegularity.lean:311; NavierStokes/ActualWaveRegularity.lean:322
NavierStokes.AxisResolvent.AxisVanishesBelow,def,NavierStokes/AxisResolvent.lean:303,2,0,1,,,,NavierStokes/AxisResolvent.lean:332; NavierStokes/AxisResolvent.lean:347
NavierStokes.CorrectionStep.CycleRealCoefficients,structure,NavierStokes/CorrectionStep.lean:9295,2,0,1,NavierStokes.CorrectionStep.CycleAnalyticInvariant,,route4,NavierStokes/CorrectionStep.lean:9323; NavierStokes/CorrectionStep.lean:9360
NavierStokes.CorrectionStep.RepresentsPhysical,structure,NavierStokes/CorrectionStep.lean:940,2,0,1,,,,NavierStokes/CorrectionStep.lean:959; NavierStokes/CorrectionStep.lean:1002
NavierStokes.CorrectionStep.SignedParameters.GaussianControl,structure,NavierStokes/CorrectionStep.lean:4227,2,0,1,,,,NavierStokes/CorrectionStep.lean:4239; NavierStokes/CorrectionStep.lean:4255
NavierStokes.GenericRealization.Properties,structure,NavierStokes/GenericRealization.lean:56,2,0,1,,,,NavierStokes/GenericRealization.lean:78; NavierStokes/GenericRealization.lean:137
NavierStokes.ModulatedProfileAssembly.NominalBounds,structure,NavierStokes/ModulatedProfileAssembly.lean:788,2,0,1,,NavierStokes/ModulatedProfileAssembly.lean:1033,route2?,NavierStokes/ModulatedProfileAssembly.lean:798; NavierStokes/ModulatedProfileAssembly.lean:1033
NavierStokes.NativeDyadicRegularity.CopySmoothInputs,structure,NavierStokes/NativeDyadicRegularity.lean:327,2,0,1,,,,NavierStokes/NativeDyadicRegularity.lean:339; NavierStokes/NativeDyadicRegularity.lean:375
NavierStokes.OffplaneCorrectionExtensions.ModelPeriodic,def,NavierStokes/OffplaneCorrectionExtensions.lean:193,2,0,1,,,,NavierStokes/OffplaneCorrectionExtensions.lean:197; NavierStokes/OffplaneCorrectionExtensions.lean:902
NavierStokes.PositiveAxisExistence.SidePathSolution,def,NavierStokes/PositiveAxisExistence.lean:784,2,0,1,,,,NavierStokes/PositiveAxisExistence.lean:801; NavierStokes/PositiveAxisExistence.lean:890
NavierStokes.SeedHandbackJets.Profile.JetBound,def,NavierStokes/SeedHandbackJets.lean:262,2,0,1,,,,NavierStokes/SeedHandbackJets.lean:269; NavierStokes/SeedHandbackJets.lean:354
NavierStokes.SeedHandbackJets.Profile.SmoothOnBand,def,NavierStokes/SeedHandbackJets.lean:259,2,0,1,,,,NavierStokes/SeedHandbackJets.lean:269; NavierStokes/SeedHandbackJets.lean:354
NavierStokes.VolterraParity.CoefficientParity,def,NavierStokes/VolterraParity.lean:44,2,0,2,,,,NavierStokes/PositiveAxisExistence.lean:270; NavierStokes/VolterraParity.lean:650
NavierStokes.ActualParticularPhysicalData.ReferenceFamily.ReferenceGeometry,structure,NavierStokes/ActualParticularPhysicalData.lean:1262,1,0,1,,,,NavierStokes/ActualParticularPhysicalData.lean:1276
NavierStokes.ActualParticularRealization.CurrentInputs,structure,NavierStokes/ActualParticularRealization.lean:596,1,0,1,,,,NavierStokes/ActualParticularRealization.lean:607
NavierStokes.ActualSignedPhysicalData.PrimitiveLocalization,structure,NavierStokes/ActualSignedPhysicalData.lean:1322,1,0,1,,,,NavierStokes/ActualSignedPhysicalData.lean:1716
NavierStokes.ActualStageEstimates.Representations,structure,NavierStokes/ActualStageEstimates.lean:285,1,0,1,,,,NavierStokes/ActualEndpointInputs.lean:218
NavierStokes.ActualStageEstimates.WaveInputs,structure,NavierStokes/ActualStageEstimates.lean:171,1,0,1,,,,NavierStokes/ActualEndpointInputs.lean:218
NavierStokes.CycleContinuationInvariant.MeanConfiguration,structure,NavierStokes/CycleContinuationInvariant.lean:508,1,0,1,,,,NavierStokes/CycleContinuationInvariant.lean:531
NavierStokes.CycleContinuationInvariant.WavePrimitives,structure,NavierStokes/CycleContinuationInvariant.lean:546,1,0,1,,,,NavierStokes/CycleContinuationInvariant.lean:558
NavierStokes.MatchingConeBounds.PreparedBounds,structure,NavierStokes/MatchingConeBounds.lean:825,1,0,1,NavierStokes.MatchingConeBounds.PreparedWitness,,route4,NavierStokes/MatchingConeBounds.lean:837
NavierStokes.PrimaryMaterialDefect.DirectionMatch,structure,NavierStokes/PrimaryMaterialDefect.lean:89,1,0,1,,,,NavierStokes/PrimaryMaterialDefect.lean:100
NavierStokes.R3PhysicalPressureBound.Recovery,def,NavierStokes/R3PhysicalPressureBound.lean:20,1,0,1,,,,NavierStokes/R3PhysicalPressureBound.lean:27
NavierStokes.SignedRequestContinuation.ContextSupport,structure,NavierStokes/SignedRequestContinuation.lean:581,1,0,1,,,,NavierStokes/SignedRequestContinuation.lean:587
